country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Greenland,GRL,2021-04-29,14139.0,8867.0,5272.0,292.0,244.0,24.9,15.62,9.29,4298.0,Pfizer/BioNTech,Government of Greenland,https://corona.nun.gl/emner/statistik/antal_vaccinerede
Hong Kong,HKG,2021-04-29,1377737.0,897172.0,480565.0,25771.0,25857.0,18.38,11.97,6.41,3449.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
Hungary,HUN,2021-04-29,5794447.0,3913550.0,1880897.0,101570.0,113586.0,59.98,40.51,19.47,11758.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/3-millio-913-ezer-beoltott-2365-az-uj-fertozott-elhunyt-182-beteg
Iceland,ISL,2021-04-29,133064.0,98008.0,35432.0,11534.0,2819.0,38.99,28.72,10.38,8261.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,2021-04-29,149268772.0,123811908.0,25456864.0,2215380.0,2359166.0,10.82,8.97,1.84,1710.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
Indonesia,IDN,2021-04-29,19890198.0,12306755.0,7583443.0,328726.0,281327.0,7.27,4.5,2.77,1029.0,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
Iran,IRN,2021-04-29,1002591.0,798465.0,204126.0,63837.0,47913.0,1.19,0.95,0.24,570.0,"Oxford/AstraZeneca, Sputnik V",Government of Iran,https://www.farsnews.ir/news/14000209000403/
Isle of Man,IMN,2021-04-29,72617.0,56844.0,15773.0,914.0,672.0,85.4,66.85,18.55,7903.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
Israel,ISR,2021-04-29,10494321.0,5403376.0,5090945.0,13051.0,9629.0,121.24,62.43,58.82,1112.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,2021-04-29,19418615.0,13707390.0,5756729.0,497993.0,377864.0,32.12,22.67,9.52,6250.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv
Japan,JPN,2021-04-29,3489719.0,2493961.0,995758.0,,138953.0,2.76,1.97,0.79,1099.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
Jordan,JOR,2021-04-29,919922.0,699328.0,220594.0,,18787.0,9.02,6.85,2.16,1841.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Jordan,https://petra.gov.jo/Include/InnerPage.jsp?ID=175868&lang=ar&name=news
Latvia,LVA,2021-04-29,296582.0,247132.0,49551.0,11132.0,7298.0,15.72,13.1,2.63,3869.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lebanon,LBN,2021-04-29,461160.0,293030.0,168130.0,5885.0,11571.0,6.76,4.29,2.46,1695.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
Lithuania,LTU,2021-04-29,943685.0,674105.0,269580.0,30164.0,13261.0,34.67,24.76,9.9,4871.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Macao,MAC,2021-04-29,102444.0,67115.0,35464.0,1990.0,2022.0,15.78,10.34,5.46,3114.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/375183/
Malawi,MWI,2021-04-29,290344.0,290344.0,,4520.0,3293.0,1.52,1.52,,172.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1387792596865634304
Malaysia,MYS,2021-04-29,1421664.0,877646.0,544018.0,12449.0,22961.0,4.39,2.71,1.68,709.0,"Pfizer/BioNTech, Sinovac",Government of Malaysia,https://twitter.com/JKJAVMY/status/1388035322320093189
Malta,MLT,2021-04-29,331438.0,225810.0,105628.0,4504.0,4263.0,75.06,51.14,23.92,9655.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases
Moldova,MDA,2021-04-29,145117.0,128587.0,16530.0,5612.0,5031.0,3.6,3.19,0.41,1247.0,Oxford/AstraZeneca,Ministry of Health,https://vaccinare.gov.md/
Mongolia,MNG,2021-04-29,1138662.0,811452.0,327210.0,58091.0,66831.0,34.73,24.75,9.98,20386.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
Montenegro,MNE,2021-04-29,60816.0,40092.0,20724.0,385.0,381.0,9.68,6.38,3.3,607.0,"Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
